product_name,product_name_es,energy-kcal_100g,proteins_100g,carbohydrates_100g,fat_100g,fiber_100g,nova_group,nutrition_grades,food_groups_tags
ácido hialurónico,,,,,,,,unknown,[]
Refisal sal de alta pureza,Refisal sal de alta pureza,0,,,,,,not-applicable,[]
Agua Pet 600,,,,,,,1,unknown,"['en:beverages', 'en:waters-and-flavored-waters']"
Natri Aceite de Coco,Natri Aceite de Coco,900,0,0,100,0,2,e,"['en:fats-and-sauces', 'en:fats']"
Vita Latti Yogurt Griego Entero Natural,Vita Latti Yogurt Griego Entero Natural,99.3333333333333,6.4,5.2,5.86666666666667,,1,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
aceite de aguacate,,,,,,,,unknown,"['en:fats-and-sauces', 'en:fats']"
removedor de maquillaje bifasico,,,,,,,,unknown,[]
,,,,,,,,not-applicable,[]
Creamy Mash,Creamy Mash,569,24,33,40,9.6,4,c,"['en:cereals-and-potatoes', 'en:legumes']"
,,900,0,0,100,0,2,b,"['en:fats-and-sauces', 'en:fats']"
Avena,Avena,47,1.9,6.5,1.5,0,4,b,"['en:beverages', 'en:plant-based-milk-substitutes']"
Vinagre De Sidra De Manzana,Vinagre De Sidra De Manzana,,,,,,2,not-applicable,"['en:fats-and-sauces', 'en:dressings-and-sauces']"
,,,,,,,,,
Pan Tajado Multigranos,Pan Tajado Multigranos,266.666666666667,11.25,50,3.75,7.08333333333333,,a,"['en:cereals-and-potatoes', 'en:bread']"
Queso Crema,Queso Crema,273.333333333333,5.5,2.1,27,,4,d,"['en:milk-and-dairy-products', 'en:cheese']"
aceite de oliva,,822,0,0,91,0,2,b,"['en:fats-and-sauces', 'en:fats']"
Bon Yurt Zucaritas,Bon Yurt Zucaritas,77.6470588235294,1.69550173010381,14.878892733564,1.34948096885813,0,4,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Water,,,,,,,1,a,"['en:beverages', 'en:waters-and-flavored-waters']"
Maizena Original,Maizena Original,357.142857142857,0,85.7142857142857,0,0,3,c,"['en:cereals-and-potatoes', 'en:cereals']"
Cremadas Vainilla,Cremadas Vainilla,430,5,72,14,0,4,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Refisal Sal Blanca,Refisal Sal Blanca,,,,,,,not-applicable,[]
Yogurt Griego Entero Natural sin dulce,Yogurt Griego Entero Natural sin dulce,98.75,6.25,5.1875,5.875,0,1,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
,,,,,,,,unknown,[]
Little angels,,,,,,,,unknown,[]
suero facial,,,,,,,,unknown,[]
agua miscelas,,,,,,,,unknown,[]
Toallitas Humedas,,,,,,,,unknown,[]
Tradicional,,425,11,,7.7,3.1,4,d,[]
Bebida Gaseosa,,,,,,,,unknown,"['en:beverages', 'en:sweetened-beverages']"
Coca Cola Sabor Original,Coca Cola Sabor Original,28.8461538461538,0,7.21153846153846,0,,,d,"['en:beverages', 'en:sweetened-beverages']"
Chocoramo,Chocoramo,448,7.2,53,24,4.3,4,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Trident Menta,,,,,,,,not-applicable,"['en:sugary-snacks', 'en:sweets']"
,,,,,,,,unknown,[]
Galletas Integrales,Galletas Integrales,441.666666666667,7.08333333333333,66.6666666666667,16.25,3.33333333333333,,d,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Bebida De Almendras Sin Azúcar,Bebida De Almendras Sin Azúcar,15,0.6,0,1.3,0,,b,"['en:beverages', 'en:plant-based-milk-substitutes']"
Agua pet 300 x24,Agua pet 300 x24,,,,,,1,a,"['en:beverages', 'en:waters-and-flavored-waters']"
ácido hialurónico,,,,,,,,unknown,[]
retinol ag,,,,,,,,unknown,[]
lady speed stick,,,,,,,,unknown,[]
protector térmico,,,,,,,,unknown,[]
be Beauty,,,,,,,,unknown,[]
P.A.N. Harina De Maiz Blanco,P.A.N. Harina De Maiz Blanco,366.666666666667,6.66666666666667,80,0,6.66666666666667,1,a,"['en:cereals-and-potatoes', 'en:cereals']"
Coca-Cola pet,Coca-Cola pet,42,0,10.6,0,0,,e,"['en:beverages', 'en:sweetened-beverages']"
Gatorade Frutos Tropicales,Gatorade Frutos Tropicales,24,0,6,0,,4,c,"['en:beverages', 'en:sweetened-beverages']"
Coca cola sin azucar,,0,0,0,0,,4,c,"['en:beverages', 'en:artificially-sweetened-beverages']"
Gaseosa Cocacola X,Coca Cola,43.2,0,10.8,0,,,e,"['en:beverages', 'en:sweetened-beverages']"
Tortillas de harina de trigo integral,Tortillas de harina de trigo integral,270,10,53,4.2,10,4,a,"['en:cereals-and-potatoes', 'en:bread']"
Agua cielo,707244561689,0,0,0,0,0,1,b,"['en:beverages', 'en:waters-and-flavored-waters']"
Leche,,59,3,4.8,3.1,3,,unknown,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Mantequilla clarificada GHEE,,904,0.9,0,100,0,,e,"['en:fats-and-sauces', 'en:fats']"
Almendra Natural,Almendra Natural,633.333333333333,20,23.3333333333333,50,13.3333333333333,1,c,"['en:salty-snacks', 'en:nuts']"
Maní con Pasas,Maní con Pasas,537,21,34,37,8.1,,c,[]
,,,,,,,,unknown,[]
,Tajín Clásico,152,3.6,29,2.3,9.2,3,d,[]
Natri Aceite de Coco,Natri Aceite de Coco,,,,,,2,e,"['en:fats-and-sauces', 'en:fats']"
Salsa de tomate,,113.333333333333,1.33333333333333,27.3333333333333,0,1.33333333333333,,d,"['en:fats-and-sauces', 'en:dressings-and-sauces']"
,fit graan hojuelas de maiz,370,6.33333333333333,90,0.666666666666667,8.66666666666667,3,c,"['en:cereals-and-potatoes', 'en:breakfast-cereals']"
super Magnesium,,,,,,,,not-applicable,[]
Sal rosada himalaya,Sal rosada himalaya,,,,,,2,not-applicable,[]
Atún rallado - El Navío,Atún Rallado Aceite Y Agua,132,30,0,1.3,0,,a,"['en:fish-meat-eggs', 'en:fish-and-seafood', 'en:fatty-fish']"
natural feeling,,,,,,,,unknown,[]
Kedeli Gelatina,Kedeli Gelatina,31,1.1,6.7,,,4,not-applicable,[]
gel delia,,,,,,,,unknown,[]
Queso Parmesano,,450,32.7777777777778,0.555555555555556,35,,,unknown,"['en:milk-and-dairy-products', 'en:cheese']"
gelatina sin sabor,,,,,,,,unknown,[]
tratamiento capilar,,,,,,,,unknown,[]
Aceite de oliva viegen extra clásico,Aceite de oliva viegen extra clásico,,,,,,2,unknown,"['en:fats-and-sauces', 'en:fats']"
Oreo Original,Oreo Original,480.555555555556,2.77777777777778,69.4444444444444,19.4444444444444,2.77777777777778,4,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Arroz Diana,Arroz Diana,338.461538461538,7.69230769230769,80,0,3.07692307692308,1,b,"['en:cereals-and-potatoes', 'en:cereals']"
Oreo Original,Oreo Original,472.222222222222,2.77777777777778,69.4444444444444,19.4444444444444,2.77777777777778,4,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Galletas con salvado y miel,Galletas con salvado y miel,381.481481481481,8.88888888888889,66.6666666666667,10.7407407407407,4.44444444444444,,c,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Agua Manantial,Agua Manantial,0,0,0,0,0,1,a,"['en:beverages', 'en:unsweetened-beverages']"
Tostadas de maíz,Tostadas de maíz,360.714285714286,7.14285714285714,85.7142857142857,0,0,1,c,"['en:cereals-and-potatoes', 'en:bread']"
Queso Reducido en Grasa Latti,Queso Reducido en Grasa Latti,233.333333333333,24.6666666666667,1.66666666666667,14.3333333333333,0,3,c,"['en:milk-and-dairy-products', 'en:cheese']"
Maní Horneado,Maní Horneado,616.666666666667,25.6666666666667,19.3333333333333,50,9.33,,b,"['en:salty-snacks', 'en:nuts']"
mermelada de frutos rojos,mermelada de frutos rojos,73,0.6,22,0,2.1,4,b,"['en:sugary-snacks', 'en:sweets']"
jamón pietran,jamón pietran,116.666666666667,14.3,9.05,2.62,,,a,"['en:fish-meat-eggs', 'en:processed-meat']"
Yogurt Griego,Yogurt Griego,77.3333333333333,8,4.53333333333333,2.93333333333333,0,,unknown,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Ghee,Ghee,889,0,0,98,0,2,e,"['en:fats-and-sauces', 'en:fats']"
Hatsu Amarillo,Hatsu Amarillo,0,0,0,0,0,4,c,"['en:beverages', 'en:artificially-sweetened-beverages']"
Bebida De Almendras,Bebida De Almendras,22.0833333333333,1,1.125,1.5,0,4,c,"['en:beverages', 'en:plant-based-milk-substitutes']"
Chocolate Bar,,583,11,47,39,2.5,,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
,,,,,,,,unknown,[]
Queso Crema,,273,5.5,2.1,27,0,,e,"['en:milk-and-dairy-products', 'en:cheese']"
Nuthos mezcla divertida,Mezcla Divertida (Frutos Secos),543.333333333333,18.6666666666667,40,36.6666666666667,11,,unknown,[]
,,,,,,,,unknown,[]
RITZ Sandwich sabor a queso,RITZ Sandwich sabor a queso,491,5.5,61,25,0.9,4,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Latti Crema de Leche,Latti Crema de Leche,213.333333333333,2,2.66666666666667,21.3333333333333,0,4,d,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Kola Granulada Tarrito Rojo,Kola Granulada Tarrito Rojo,0,0,0,0,,,not-applicable,[]
ácido hialurónico,,,,,,,,unknown,[]
Whole Milk,,60,3.2,4.8,3.1,,,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
De la Cuesta Yogurt Griego Natural Sin Dulce,De la Cuesta Yogurt Griego Natural Sin Dulce,98.75,6.25,5.1875,5.875,0,1,b,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Consciente Mix Cacao de Origen y Pretzels,Consciente Mix Cacao de Origen y Pretzels,552,20,37,38,8.8,4,c,[]
Aceite de Oliva Medalla de Oro,Aceite de Oliva Medalla de Oro,,,,,,,unknown,"['en:fats-and-sauces', 'en:fats']"
PARFAIT,,129,5.9,17,4.9,5.9,,unknown,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Margarina Gustosita,,603,,,67,,2,unknown,"['en:fats-and-sauces', 'en:fats', 'en:vegetable-margarines']"
Turrones De Granola,Turrones De Granola,496,20,39,34,14,3,a,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
crema para manos hidratante,,,,,,,,unknown,[]
protector solar,,,,,,,,unknown,[]
