Ejercicio,Estado,Patrón,Tipo,Implementación principal,Músculos primarios trabajados,Músculos secundarios trabajados,Plano,Explicación del ejercicio,URL de YouTube
Meses,hecho,Empuje,Carga externa,Barra,"Deltoides, Tríceps Trapecios, Recto abdominal",,Sagital,"Más anchas que el ancho de los hombros. Para iniciar el movimiento, empuja los",https://www.youtube.com/watch?v=KSP
Clean de 2 Posiciones,hecho,Flexión,Explosividad,Barra,"Cuádriceps, Máximo Isquiotibiales, Glúteos Dorsal ancho,",Trapecio,Sagital,"Ancho de los hombros, con el torso paralelo al suelo en una posición de bisagra",https://www.youtube.com/watch?v=3rlRw9RVkBE
Partes,hecho,Empuje,Explosividad,Barra,"Cuádriceps, Tríceps, Glúteos Trapecios, Recto abdominal",,Sagital,"JdsE sentadilla parcial y haz una pausa en la parte inferior de la sentadilla. Luego, salta hacia arriba, generando fuerza en la barra, separa los pies y recibe la",https://www.youtube.com/watch?v=QiQ
3 Point Dumbbell Reverse Fly,hecho,Jalar,Carga externa,Mancuerna,"Romboides, Deltoides posterior Recto abdominal",Rectus Abdominus,Transversal,"Mano que sostiene la mancuerna, primero lleva la mancuerna por debajo de la cuerpo, cerca de la mano opuesta,",https://www.youtube.com/watch?v=JPVbGC7jxXw
Snatch de 3 Posiciones,hecho,Flexión,Explosividad,Barra,"Cuádriceps, Máximo Isquiotibiales, Glúteos Latíssimo dorsal,",Trapecio,Sagital,"Pliegue en posición de pie) y pronado. Inclina las caderas hacia atrás, flexiona",https://www.youtube.com/watch?v=bWeIiL-n1IY
Peso muerto con agarre de arranque de 3 posiciones,hecho,Doblar,Explosividad,Barra,"Cuádriceps, Máximo Isquiotibiales, Glúteo Latíssimo dorsal, Trapecio",,Sagital,SGQ9uo descansa en el pliegue de la cadera en posición de pie) y pronado. Flexiona las,https://www.youtube.com/watch?v=zrI8
Cha Cha con banda de 3 vías,hecho,Una pierna,Estabilidad,Band,"Glúteo, glúteo medio, Flexor de cadera","mayor Recto abdominal a la anchura de caderas, una ligera flexión de las rodillas y una ligera bisagra de",Múltiple,"Hacia un lado y toca los dedos del pie, y vuelve rápidamente a",https://www.youtube.com/watch?v=TSoAqzRoPDo
90 Degree Pull-Up,hecho,Jalar,Peso corporal,Barra de dominadas,"Latísimo dorsal, Bíceps Romboides",Rhomboids,Sagital,"Tira hacia arriba hasta el punto en que el hombro esté alineado con el codos (90 grados). Luego, con con",https://www.youtube.com/watch?v=7ZlgtW8PgVA
90/90 Supine Kettebell Horn Tricep Extension,hecho,Jalar,Peso corporal,Barra de dominadas,Latísimo dorsal,"Bíceps Romboides Sagital movimiento, retrae las escápulas juntas y hacia abajo para involucrar, https://www.youtube.com/watch?v=7ZlgtW8PgVA y tira hacia arriba hasta el punto en que el hombro esté alineado con el codos (90 grados). Luego, con con Extensión de tríceps con pesa rusa en posición supina 90/90 comienza acostado sobre el espalda con las rodillas por encima de las caderas y las espinillas paralelas al suelo (90/90). Extensión de tríceps con pesa rusa en posición supina 90/90 hecha Empujar Carga externa Pesa rusa Tríceps Recto abdominal, flexores de cadera",Sagital,"Otro y empieza con los brazos extendidos directamente sobre el pecho. Para iniciar el movimiento, haz palanca",https://www.youtube.com/watch?v=49jdhC0-MN0
Extensión de tríceps con pesa rusa en posición supina 90/90 hecha,,Empujar,Carga externa,Pesa rusa,Tríceps Recto abdominal,"flexores de cadera Sagital Agarra la pesa rusa por los lados de la manija para que las palmas miren hacia unahttps://www.youtube.com/watch?v=49jdhC0-MN0 otro y empieza con los brazos extendidos directamente sobre el pecho. Para iniciar el movimiento, haz palanca Extensión de tríceps con mancuerna de agarre 90/90 empieza acostado sobre el espalda con las rodillas por encima de las caderas y las espinillas paralelas al suelo (90/90). Extensión de tríceps con mancuerna de agarre 90/90hecho Empujar Carga externa Mancuerna Tríceps Recto abdominal",Sagital,Otra y mantén una fuerza constante de presión hacia adentro desde las manos (aplastar) a lo largo del movimiento,https://www.youtube.com/watch?v=6dqJxwbIrNc
Ab Roll Out,hecho,Núcleo,Peso corporal,Rueda,"Abdominal Recto Abdominal Tríceps,",Dorsal ancho,Sagital,"Mantén este compromiso a lo largo del movimiento. Para iniciar el movimiento, comienza a rodar hacia delante",https://www.youtube.com/watch?v=2Jq47mqx2Xw
Abmat Sit-Up,hecho,Núcleo,Peso corporal,Abmat,Recto Abdominal Flexor de cadera,Hip Flexor,Sagital,"Sobre la cabeza. Para iniciar el movimiento, arquea la parte baja de la espalda y extiende los brazos más como un viento",https://www.youtube.com/watch?v=BgUEFKr8ny4
Abmat Sit-Up,hecho,Núcleo,Peso corporal,Abmat,"Recto Abdominal Flexor de cadera Sagital rodillas apuntando hacia afuera ampliamente (forma de diamante) y los brazos extendidos https://www.youtube.com/watch?v=BgUEFKr8ny4 sobre la cabeza. Para iniciar el movimiento, arquea la parte baja de la espalda y extiende los brazos más como un viento Active Bar Hang comienza agarrando una barra de dominadas con un agarre pronado, manos un poco más separadas que el ancho de los hombros y piernas suspendidas Active Bar Hang refilm Jalar Peso corporal Barra de dominadas Dorsal ancho Tríceps",,Sagital,"DYk barra de dominadas hacia adelante, manteniendo los brazos rectos y vaciándose (hollowing) out por el frente del cuerpo, colocándote en protracción de la escápula y pesadez",https://www.youtube.com/watch?v=HSQlHf
Active Hollow Hold,hecho,Núcleo,Peso corporal,Ninguno,Recto Abdominal Flexores de cadera,Hip Flexors,Sagital,Cabeza y piernas fuera del suelo pero mantén los talones de los pies y la parte inferior,https://www.youtube.com/watch?v=J6dmeF5mmyY
Flexión del Hombro Activa,hecho,Jalar,Peso corporal,Pared,"Deltoides anterior, Trapecio superior Elevador de la escapula,",Bíceps,Sagital,"Tocando la pared, sin que la espalda baja se despegue de la pared. Luego, baja el brazo de nuevo.",https://www.youtube.com/watch?v=grnGZDuVPUY
Extensión torácica activa,hecho,Núcleo,Peso corporal,Ninguno,"Erectores de la columna Latissimus dorsi,",glúteos,Sagital,Pecho y brazos fuera del suelo mientras mantienes tus pies y la cadera frontal en contacto con el suelo. puntos en contacto con el piso. Ejercicio Estado Patrón Tipo Implementación Principal Músculos Principales Trabajados Músculos Secundarios Trabajados Plano Explicación del Ejercicio URL de YouTube,https://www.youtube.com/watch?v=b1SyEep9X1U
